     LRU FAULT MESSAGE LISTING
       LRU       | Mess# |    Status     |        Message          |Timer
DCU A            |  10   | FAILED/WIRING |NO B-DCU-5 BUS INPUT     |  5 
DCU A            |  11   | FAILED/WIRING |NO L-GP-5 BUS INPUT      | 10 
DCU A            |  12   | FAILED/WIRING |NO L-GP-5 BUS INPUT      | 10 
DCU A            |  13   | FAILED/WIRING |NO R-GP-5 BUS INPUT      | 10 
DCU A            |  14   | FAILED/WIRING |NO R-GP-5 BUS INPUT      | 10 
DCU A            |  15   | FAILED/WIRING |NO PSEU-A BUS INPUT      | 10 
DCU A            |  16   | FAILED/WIRING |NO PSEU-B BUS INPUT      | 10 
DCU A            |  17   | FAILED/WIRING |NO LB-RIU-6 BUS INPUT    | 10 
DCU A            |  18   | FAILED/WIRING |NO RB-RIU-6 BUS INPUT    | 10 
DCU A            |  19   | FAILED/WIRING |NO L-SECU-1 BUS INPUT    | 10 
DCU A            |  20   | FAILED/WIRING |NO R-SECU-1 BUS INPUT    | 10 
DCU A            |  21   | FAILED/WIRING |NO IASC1-A BUS INPUT     | 10 
DCU A            |  22   | FAILED/WIRING |NO IASC1-B BUS INPUT     | 10 
DCU A            |  23   | FAILED/WIRING |NO IASC2-A BUS INPUT     | 10 
DCU A            |  24   | FAILED/WIRING |NO IASC2-B BUS INPUT     | 10 
DCU A            |  25   | FAILED/WIRING |NO LA-FADEC BUS INPUT    | 10 
DCU A            |  26   | FAILED/WIRING |NO LB-FADEC BUS INPUT    | 10 
DCU A            |  27   | FAILED/WIRING |NO RA-FADEC BUS INPUT    | 10 
DCU A            |  28   | FAILED/WIRING |NO RB-FADEC BUS INPUT    | 10 
DCU A            |  29   | FAILED/WIRING |NO FIREX-1 BUS INPUT     | 10 
DCU A            |  30   | FAILED/WIRING |NO LDU-A BUS OUTPUT      | 10 
DCU A            |  31   | FAILED/WIRING |NO LDU-B BUS OUTPUT      | 10 
DCU A            |  32   | FAILED/WIRING |NO A-RDC-1 BUS INPUT     | 10 
DCU A            |  33   | FAILED/WIRING |NO A-RDC-2 BUS INPUT     | 10 
DCU A            |  34   | FAILED/WIRING |NO B-RDC-1 INPUT         | 10 
DCU A            |  35   | FAILED/WIRING |NO B-RDC-2 BUS INPUT     | 10 
